Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit;Latitude;Longitude;CountyId;StateId
1;CA-2013-152156;09.11.2013;12.11.2013;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;FUR-BO-10001798;Furniture;Bookcases;Bush Somerset Collection Bookcase;261.96;2;0;41.9136;37.8367513;-87.590763;101;21
2;CA-2013-152156;09.11.2013;12.11.2013;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;FUR-CH-10000454;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;731.94;3;0;219.582;37.8367513;-87.590763;101;21
3;CA-2013-138688;13.06.2013;17.06.2013;Second Class;DV-13045;Darrin Van Huff;Corporate;United States;Los Angeles;California;90036;West;OFF-LA-10000240;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;14.62;2;0;6.8714;34.0543942;-118.2439408;037;06
4;US-2012-108966;11.10.2012;18.10.2012;Standard Class;SO-20335;"Sean O'Donnell";Consumer;United States;Fort Lauderdale;Florida;33311;South;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;957.5775;5;0.45;-383.031;26.1223084;-80.1433785;011;12
5;US-2012-108966;11.10.2012;18.10.2012;Standard Class;SO-20335;"Sean O'Donnell";Consumer;United States;Fort Lauderdale;Florida;33311;South;OFF-ST-10000760;Office Supplies;Storage;"Eldon Fold 'N Roll Cart System";22.368;2;0.2;2.5164;26.1223084;-80.1433785;011;12
6;CA-2011-115812;09.06.2011;14.06.2011;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;FUR-FU-10001487;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;48.86;7;0;14.1694;34.0543942;-118.2439408;037;06
7;CA-2011-115812;09.06.2011;14.06.2011;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-AR-10002833;Office Supplies;Art;Newell 322;7.28;4;0;1.9656;34.0543942;-118.2439408;037;06
8;CA-2011-115812;09.06.2011;14.06.2011;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;TEC-PH-10002275;Technology;Phones;Mitel 5320 IP Phone VoIP phone;907.152;6;0.2;90.7152;34.0543942;-118.2439408;037;06
9;CA-2011-115812;09.06.2011;14.06.2011;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-BI-10003910;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;18.504;3;0.2;5.7825;34.0543942;-118.2439408;037;06
10;CA-2011-115812;09.06.2011;14.06.2011;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;OFF-AP-10002892;Office Supplies;Appliances;Belkin F5C206VTEL 6 Outlet Surge;114.9;5;0;34.47;34.0543942;-118.2439408;037;06
11;CA-2011-115812;09.06.2011;14.06.2011;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;90032;West;FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;1706.184;9;0.2;85.3092;34.0543942;-118.2439408;037;06
